Group_Type,City,Avg_Restaurant_Count,Total_Restaurant_Count,Locality_Count,Locality,City_Count
Locality,,1.0,1,,"A Hotel, Gurdev Nagar",1.0
Locality,,1.0,1,,"ARSS Mall, Paschim Vihar",1.0
Locality,,1.0,1,,Aaya Nagar,1.0
Locality,,2.0,2,,"Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)",1.0
Locality,,3.0,3,,Abu Shagara,1.0
Locality,,2.0,2,,"Acropolis Mall, Kasba ",1.0
Locality,,3.0,3,,Adajan Gam,1.0
Locality,,13.0,13,,Adchini,1.0
Locality,,1.0,1,,Addition Hills,1.0
Locality,,4.0,4,,"Aditya Mega Mall, Karkardooma",1.0
Locality,,1.0,1,,Adyar,1.0
Locality,,4.0,4,,Aerocity,1.0
Locality,,1.0,1,,Aggar Nagar,1.0
Locality,,3.0,3,,"Aggarwal City Mall, Pitampura",1.0
Locality,,5.0,5,,"Aggarwal City Plaza, Rohini",1.0
Locality,,3.0,3,,Agra Cantt,1.0
Locality,,1.0,1,,Ain Khalid,1.0
Locality,,1.0,1,,Akashwani,1.0
Locality,,1.0,1,,Al Barari,1.0
Locality,,2.0,2,,Al Dhafrah,1.0
Locality,,1.0,1,,Al Doha Al Jadeeda,1.0
Locality,,1.0,1,,"Al Emadi Financial Square, Al Hilal",1.0
Locality,,1.0,1,,Al Ghanim,1.0
Locality,,1.0,1,,Al Hilal,1.0
Locality,,2.0,2,,Al Karama,1.0
Locality,,1.0,1,,Al Khan,1.0
Locality,,3.0,3,,Al Majaz,1.0
Locality,,2.0,2,,Al Mareija,1.0
Locality,,1.0,1,,Al Muntazah,1.0
Locality,,1.0,1,,Al Mushrif,1.0
Locality,,2.0,2,,Al Nahda,1.0
Locality,,1.0,1,,Al Nasr,1.0
Locality,,1.0,1,,Al Nud,1.0
Locality,,1.0,1,,"Al Qasba, Al Khan",1.0
Locality,,2.0,2,,"Al Wahda Mall, Al Wahda",1.0
Locality,,32.0,32,,Alaknanda,1.0
Locality,,1.0,1,,"Alam Sutera Town Center, Serpong Utara",1.0
Locality,,19.0,19,,Albany,1.0
Locality,,1.0,1,,"Albemarle Street, Mayfair",1.0
Locality,,8.0,8,,Alkapuri,1.0
Locality,,1.0,1,,Alum Rock,1.0
Locality,,1.0,1,,Ambavadi,1.0
Locality,,2.0,2,,"Ambience Mall, Gurgaon",1.0
Locality,,12.0,12,,"Ambience Mall, Vasant Kunj",1.0
Locality,,2.0,2,,Ames,1.0
Locality,,1.0,1,,Aminabad,1.0
Locality,,2.0,2,,Anand Lok,1.0
Locality,,42.0,42,,Anand Vihar,1.0
Locality,,3.0,3,,Anand Wali Goan,1.0
Locality,,1.0,1,,Anandpuri,1.0
Locality,,1.0,1,,"Andaz Delhi, Aerocity",1.0
Locality,,2.0,2,,"Anil Plaza, Christian Basti",1.0
Locality,,3.0,3,,Anjuna,1.0
Locality,,1.0,1,,"Anjuna Beach, Anjuna",1.0
Locality,,2.0,2,,Anna Nagar East,1.0
Locality,,5.0,5,,"Ansal Plaza Mall, Greater Noida",1.0
Locality,,8.0,8,,"Ansal Plaza Mall, Khel Gaon Marg",1.0
Locality,,4.0,4,,"Ansal Plaza Mall, Palam Vihar",1.0
Locality,,1.0,1,,Arambol,1.0
Locality,,1.0,1,,"Archer Street, Soho",1.0
Locality,,19.0,19,,Ardee City,1.0
Locality,,5.0,5,,Arera Colony,1.0
Locality,,1.0,1,,"Armada AVM, Sï¿½_ï¿½ï¿½ï¿½_tï¿½_zï¿½_, Yenimahalle",1.0
Locality,,1.0,1,,Armidale,1.0
Locality,,1.0,1,,Arya Nagar,1.0
Locality,,4.0,4,,Asa Norte,1.0
Locality,,6.0,6,,Asa Sul,1.0
Locality,,3.0,3,,Asaf Ali Road,1.0
Locality,,2.0,4,,Ashok Nagar,2.0
Locality,,36.0,36,,Ashok Vihar Phase 1,1.0
Locality,,14.0,14,,Ashok Vihar Phase 2,1.0
Locality,,11.0,11,,Ashok Vihar Phase 3,1.0
Locality,,1.0,1,,Ashram Road,1.0
Locality,,1.0,1,,AsmalÛ±mescit,1.0
Locality,,2.0,2,,Assi Ghat,1.0
Locality,,20.0,20,,Athens,1.0
Locality,,1.0,1,,Athlone,1.0
Locality,,3.0,3,,Athwa,1.0
Locality,,1.0,1,,Attavar,1.0
Locality,,15.0,15,,Augusta,1.0
Locality,,2.0,2,,Auroville,1.0
Locality,,1.0,1,,Azad Nagar,1.0
Locality,,1.0,1,,"BGC Stopover Pavillion, Bonifacio Global City",1.0
Locality,,2.0,2,,"BMC Bhawani Mall, Sahid Nagar",1.0
Locality,,1.0,1,,BRS Nagar,1.0
Locality,,9.0,9,,Badarpur Border,1.0
Locality,,1.0,1,,Badkal Lake,1.0
Locality,,3.0,3,,Baga,1.0
Locality,,5.0,5,,Bajaj Nagar,1.0
Locality,,1.0,1,,"Balewadi High Street, Balewadi",1.0
Locality,,2.0,2,,Balgat,1.0
Locality,,1.0,1,,Balingup,1.0
Locality,,4.0,4,,Ballygunge,1.0
Locality,,7.0,7,,Balmatta,1.0
Locality,,1.0,1,,Balmoral,1.0
Locality,,2.0,2,,"Bambalapitiya, Colombo 04",1.0
Locality,,2.0,2,,Baner,1.0
Locality,,2.0,2,,Banjara Hills,1.0
Locality,,16.0,16,,Barakhamba Road,1.0
Locality,,1.0,1,,Barra da Tijuca,1.0
Locality,,1.0,1,,Barsha 2,1.0
Locality,,1.0,1,,"Barwa Towers, Al Sadd",1.0
Locality,,15.0,15,,"Basant Lok Market, Vasant Vihar",1.0
Locality,,2.0,2,,Basant Nagar,1.0
Locality,,1.0,1,,"Bayfront Avenue, Downtown Core",1.0
Locality,,1.0,1,,"Bayfront Subzone, Downtown Core",1.0
Locality,,1.0,1,,"Beak Street, Soho",1.0
Locality,,1.0,1,,Beaverdale,1.0
Locality,,1.0,1,,Bebek,1.0
Locality,,1.0,1,,Beechworth,1.0
Locality,,2.0,2,,"Bela Vista, Centro",1.0
Locality,,3.0,3,,"Bellagio, Ashok Vihar Phase 2",1.0
Locality,,2.0,2,,"Best Western Skycity Hotel, Sector 15, Gurgaon",1.0
Locality,,1.0,1,,"Best Western Taurus Hotel, Mahipalpur",1.0
Locality,,1.0,1,,Betalbatim,1.0
Locality,,5.0,5,,Bettendorf,1.0
Locality,,1.0,1,,Beï¿½ï¿½iktaï¿½ï¿½ Merkez,1.0
Locality,,1.0,1,,Bhavathi,1.0
Locality,,2.0,2,,Bhawar Kuan,1.0
Locality,,3.0,3,,Bhelupur,1.0
Locality,,9.0,9,,Bhikaji Cama Place,1.0
Locality,,1.0,1,,"Bishopsgate, City Of London",1.0
Locality,,1.0,1,,Blackfoot,1.0
Locality,,1.0,1,,"BluPetal Hotel, Koramangala",1.0
Locality,,5.0,5,,Bodakdev,1.0
Locality,,1.0,1,,Bogor Timur,1.0
Locality,,1.0,1,,Bogor Utara,1.0
Locality,,18.0,18,,Boise,1.0
Locality,,2.0,2,,"Bon Vivant, College Road",1.0
Locality,,1.0,1,,Bonaire,1.0
Locality,,1.0,1,,Bonifacio Global City,1.0
Locality,,1.0,1,,Borivali East,1.0
Locality,,2.0,2,,Borivali West,1.0
Locality,,1.0,1,,"Boundary Street, Shoreditch",1.0
Locality,,4.0,4,,Brahmaputra Shopping Complex,1.0
Locality,,1.0,1,,Braselton,1.0
Locality,,1.0,1,,"Brasï¿½_lia Shopping, Asa Norte",1.0
Locality,,1.0,1,,Brindleyplace,1.0
Locality,,1.0,1,,"Brindleyplace, Broad Street",1.0
Locality,,3.0,3,,Britomart,1.0
Locality,,1.0,1,,"Broadwick Street, Soho",1.0
Locality,,3.0,3,,Brooklyn,1.0
Locality,,2.0,2,,Bryanston,1.0
Locality,,1.0,1,,"Bryanston Shopping Centre, Bryanston",1.0
Locality,,3.0,3,,"Bullring Shopping Centre, Southside",1.0
Locality,,1.0,1,,C G Road,1.0
Locality,,6.0,6,,C Scheme,1.0
Locality,,3.0,3,,CBD,1.0
Locality,,7.0,7,,CIDCO,1.0
Locality,,1.0,1,,"CITY WALK, Al Safa",1.0
Locality,,1.0,1,,"CMR Central Mall, Maddilapalem",1.0
